FEATURE,IMPORTANCE_MEAN,IMPORTANCE_STD
EXT_SOURCE_3,0.048730169988415305,0.0034188549097696687
EXT_SOURCE_2,0.046154789768946845,0.0046783888683815805
EXT_SOURCE_1,0.014781109095883194,0.0027637525724594643
CREDIT_ANNUITY_RATIO,0.00766427879045799,0.0009462307130459004
NAME_EDUCATION_TYPE,0.004599245471647739,0.0007686328781332985
CODE_GENDER,0.004102351061709952,0.0012215518545986663
AMT_GOODS_PRICE,0.003022247440716841,0.0005675970658136496
DAYS_ID_PUBLISH,0.0019204063780275283,0.00025120398543416767
AGE,0.001207339932923368,0.0002574947271248719
DEF_60_CNT_SOCIAL_CIRCLE,0.0009688090003006078,0.0001699795020512647
DAYS_BIRTH,0.0008959635772885389,0.0001820915595060418
BUREAU_ACTIVE_LOAN_COUNT,0.0008784142070191292,0.00019308293437469442
DAYS_EMPLOYED,0.0007250497333481931,0.0002977031517895804
EMPLOYMENT_YEARS,0.000606838039847446,0.0002938557551719933
FLAG_OWN_CAR,0.0005979485204962387,0.0003142061538092387
BUREAU_MEAN_DAYS_CREDIT,0.0005925850870882599,0.0010795486920775945
OCCUPATION_TYPE,0.000576805514744394,5.053395425306289e-05
DAYS_LAST_PHONE_CHANGE,0.0005679835449322157,0.0004916983944937801
NAME_FAMILY_STATUS,0.0005299126246711472,0.0001853871641011099
BUREAU_DEBT_CREDIT_RATIO,0.000523941245410886,0.0001727762173119427
AMT_ANNUITY,0.0005023659226085497,0.00046305328612229404
REGION_RATING_CLIENT,0.0002598630770842325,0.00020338701617331605
BUREAU_ACTIVE_LOAN_RATIO,0.0002554318273163991,0.0006690438402510384
EMPLOYMENT_AGE_RATIO,0.00023896324967325188,0.00045258028622871923
BUREAU_TOTAL_DEBT,0.00020757973378731086,7.757542713009068e-05
NAME_INCOME_TYPE,0.00015893055569633497,0.0001833141984333055
DEF_30_CNT_SOCIAL_CIRCLE,0.0001340317955680792,2.6261412175906004e-05
FLAG_PHONE,0.00011309143843361014,9.582440960968936e-05
BUREAU_MAX_CREDIT,0.0001111595216142236,8.61894701717086e-05
HOUR_APPR_PROCESS_START,0.00010960588221393674,0.00012830519286783813
REGION_RATING_CLIENT_W_CITY,9.871689650400305e-05,5.69682809904979e-05
BASEMENTAREA_MEDI,7.835746540618693e-05,0.00011255735743197818
APARTMENTS_MEDI,7.665521701978317e-05,2.4609786937268862e-05
BUREAU_LOAN_COUNT,6.495563684021377e-05,8.3517028570423e-05
FLAG_EMAIL,4.455567601897581e-05,5.27135344502888e-05
BUREAU_CLOSED_LOAN_COUNT,3.685502855659273e-05,6.3931399059622e-05
NAME_HOUSING_TYPE,3.309927418024827e-05,1.4254841460055611e-05
LANDAREA_MODE,3.1248416807705405e-05,1.76571756106191e-05
ELEVATORS_AVG,2.8492395610668632e-05,3.9957077520555815e-05
NONLIVINGAREA_MEDI,2.6411869805031964e-05,7.589678164049362e-05
BUREAU_DEBT_LOAN_COUNT,2.545266634923493e-05,6.151579540176786e-05
DAYS_REGISTRATION,2.4709621418606e-05,0.0002328186189445248
WALLSMATERIAL_MODE,2.380445759404548e-05,3.15395909038643e-05
ENTRANCES_MODE,2.1318634553657566e-05,1.0710690371203356e-05
ELEVATORS_MEDI,2.1129495844074418e-05,1.6164445228119878e-05
LIVINGAREA_MEDI,1.958936635153563e-05,6.702258329576944e-05
FLOORSMAX_AVG,1.8562613356643e-05,4.5318167738565986e-05
AMT_INCOME_TOTAL,1.57390426203996e-05,5.4003885786121675e-05
HOUSETYPE_MODE,1.39152050635305e-05,1.5910748707443444e-05
AMT_REQ_CREDIT_BUREAU_YEAR,9.700113821042855e-06,2.1880779515658417e-05
LIVINGAREA_AVG,9.227267046996168e-06,7.892037424943897e-05
NONLIVINGAREA_MODE,8.268063591199138e-06,8.582099165292927e-06
FLAG_WORK_PHONE,7.403429490127067e-06,1.772784086668684e-05
FLOORSMAX_MODE,4.3231705052271255e-06,1.4931962758204812e-05
LIVE_CITY_NOT_WORK_CITY,1.985956450867299e-06,2.403122110747992e-05
REG_REGION_NOT_LIVE_REGION,0.0,0.0
FLAG_EMP_PHONE,0.0,0.0
FLAG_OWN_REALTY,0.0,0.0
LIVE_REGION_NOT_WORK_REGION,0.0,0.0
FLAG_MOBIL,0.0,0.0
REG_REGION_NOT_WORK_REGION,0.0,0.0
FLAG_CONT_MOBILE,0.0,0.0
FLAG_DOCUMENT_20,0.0,0.0
BUREAU_CREDIT_PROLONG_COUNT,0.0,0.0
BUREAU_OVERDUE_LOAN_COUNT,0.0,0.0
BUREAU_MAX_DAYS_OVERDUE,0.0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.0
FLAG_DOCUMENT_18,0.0,0.0
FLAG_DOCUMENT_17,0.0,0.0
FLAG_DOCUMENT_11,0.0,0.0
FLAG_DOCUMENT_12,0.0,0.0
FLAG_DOCUMENT_9,0.0,0.0
FLAG_DOCUMENT_10,0.0,0.0
FLAG_DOCUMENT_14,0.0,0.0
FLAG_DOCUMENT_13,0.0,0.0
FLAG_DOCUMENT_21,0.0,0.0
FLAG_DOCUMENT_19,0.0,0.0
BUREAU_OVERDUE_LOAN_RATIO,0.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0,0.0
ENTRANCES_MEDI,0.0,0.0
FLAG_DOCUMENT_7,0.0,0.0
FLAG_DOCUMENT_6,0.0,0.0
FLAG_DOCUMENT_15,0.0,0.0
FLAG_DOCUMENT_16,0.0,0.0
FLAG_DOCUMENT_2,0.0,0.0
EMERGENCYSTATE_MODE,0.0,0.0
FLOORSMAX_MEDI,0.0,0.0
FLAG_DOCUMENT_4,0.0,0.0
FLAG_DOCUMENT_5,0.0,0.0
AMT_REQ_CREDIT_BUREAU_MON,-7.835746539175404e-07,3.946558339633731e-06
OBS_30_CNT_SOCIAL_CIRCLE,-2.2966843308713793e-06,0.00010117602354030872
ORGANIZATION_TYPE,-2.769531104873657e-06,2.5051464015943868e-05
REG_CITY_NOT_LIVE_CITY,-2.999199537945252e-06,1.148466132015103e-05
HAS_BUREAU_HISTORY,-4.43124976774456e-06,8.37392606392931e-05
REG_CITY_NOT_WORK_CITY,-4.809527186933061e-06,7.768185253752618e-06
ENTRANCES_AVG,-5.241844237513504e-06,9.194442686538843e-06
BASEMENTAREA_MODE,-5.593101841028236e-06,3.578683547599991e-05
LANDAREA_MEDI,-7.984355526713394e-06,2.9432889957989853e-05
APARTMENTS_AVG,-1.0916005525474226e-05,2.2151371554913754e-05
BASEMENTAREA_AVG,-1.4334012206140834e-05,0.00011271420951314389
CNT_CHILDREN,-2.0021683402071665e-05,3.660755271604382e-05
FLAG_DOCUMENT_8,-2.0102742849026356e-05,1.800772908495113e-05
TOTALAREA_MODE,-2.1440223724011886e-05,0.00010286903367357507
NONLIVINGAREA_AVG,-2.2291347917269278e-05,5.067710311664938e-05
CNT_FAM_MEMBERS,-2.5209488008171022e-05,9.34456017301004e-06
NAME_TYPE_SUITE,-2.6398359897217283e-05,1.475850923849557e-05
ELEVATORS_MODE,-2.931649998814123e-05,1.577249193374651e-05
WEEKDAY_APPR_PROCESS_START,-4.032707486856246e-05,4.106745328331889e-05
AMT_CREDIT,-4.906798523367506e-05,0.00023627220371077648
LIVINGAREA_MODE,-5.2634600900391956e-05,6.0903653451906e-05
APARTMENTS_MODE,-5.613366702796885e-05,3.490482807182393e-05
OBS_60_CNT_SOCIAL_CIRCLE,-6.871139121653603e-05,3.30199780497206e-05
YEARS_BEGINEXPLUATATION_MODE,-6.99407928289153e-05,0.0002188686860032605
LANDAREA_AVG,-7.633097923183118e-05,3.316301266082134e-05
YEARS_BEGINEXPLUATATION_MEDI,-7.779004927737088e-05,6.785200538527831e-05
YEARS_BEGINEXPLUATATION_AVG,-8.145123429894596e-05,5.8251041053665264e-05
REGION_POPULATION_RELATIVE,-8.646341010329906e-05,0.0001866626569330937
BUREAU_TOTAL_CREDIT,-0.00011650944511427674,0.0001409740749914881
CREDIT_INCOME_RATIO,-0.00016859013979377834,0.0002911364837661972
BUREAU_MEAN_CREDIT,-0.00019220545867819626,0.0002346263347212029
INCOME_PER_PERSON,-0.00022606128769688815,0.00012332703153817177
ANNUITY_INCOME_RATIO,-0.00024381330658365118,0.00016474758789859675
NAME_CONTRACT_TYPE,-0.0005353841373417322,0.0004000785208573396
FLAG_DOCUMENT_3,-0.0016408593652369242,0.0008227521238427403
